Species,Number,Detector.ID,Date,Time,Latitude,Longitude
Nyctalus spp.,1,A2,31/07/2018,05:27:17,55.01658333,-5.008966667
Myotis spp.,1,A2,01/08/2018,02:19:52,55.01658333,-5.008966667
Nyctalus spp.,1,A2,01/08/2018,04:30:38,55.01658333,-5.008966667
Nyctalus spp.,1,A2,01/08/2018,04:30:50,55.01658333,-5.008966667
Nyctalus spp.,1,A2,01/08/2018,04:30:55,55.01658333,-5.008966667
Nyctalus noctula,1,A2,01/08/2018,04:31:07,55.01658333,-5.008966667
Nyctalus spp.,1,A2,03/08/2018,00:42:37,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,03/08/2018,00:55:14,55.01658333,-5.008966667
Nyctalus spp.,1,A2,04/08/2018,00:25:45,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,04/08/2018,00:26:05,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,04/08/2018,00:26:09,55.01658333,-5.008966667
Nyctalus spp.,1,A2,04/08/2018,00:26:27,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,04/08/2018,03:28:46,55.01658333,-5.008966667
Nyctalus spp.,1,A2,04/08/2018,03:32:12,55.01658333,-5.008966667
Nyctalus spp.,1,A2,04/08/2018,03:32:20,55.01658333,-5.008966667
Nyctalus spp.,1,A2,04/08/2018,04:08:55,55.01658333,-5.008966667
Nyctalus spp.,1,A2,04/08/2018,04:09:06,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,04/08/2018,04:28:53,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,04/08/2018,06:02:47,55.01658333,-5.008966667
Nyctalus noctula,1,A2,05/08/2018,00:12:02,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,05/08/2018,00:22:20,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,01:42:21,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,01:42:31,55.01658333,-5.008966667
Myotis spp.,1,A2,05/08/2018,02:46:28,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,03:18:50,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,04:10:46,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,05/08/2018,04:27:10,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,04:42:44,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,04:47:05,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,04:47:08,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,04:55:25,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,04:55:33,55.01658333,-5.008966667
Myotis spp.,1,A2,05/08/2018,05:04:29,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,05:17:48,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,05:21:01,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,05:21:05,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,05:21:43,55.01658333,-5.008966667
Nyctalus noctula,1,A2,05/08/2018,05:21:55,55.01658333,-5.008966667
Nyctalus noctula,1,A2,05/08/2018,05:22:02,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,05/08/2018,05:26:14,55.01658333,-5.008966667
Nyctalus spp.,1,A2,05/08/2018,05:50:07,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,05/08/2018,05:50:10,55.01658333,-5.008966667
Nyctalus spp.,1,A2,05/08/2018,05:50:15,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,06/08/2018,00:14:56,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,00:30:59,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,00:31:03,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,00:31:08,55.01658333,-5.008966667
Nyctalus noctula,1,A2,06/08/2018,00:36:27,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,00:46:03,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,02:25:27,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,02:25:36,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,02:55:01,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,02:55:26,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,03:00:16,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,03:30:31,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,04:09:49,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,04:18:32,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,04:18:46,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,04:23:23,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,04:23:31,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,04:42:54,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,04:46:55,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,04:47:02,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,05:32:49,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,05:33:00,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,05:33:06,55.01658333,-5.008966667
Nyctalus spp.,1,A2,06/08/2018,05:33:15,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,06/08/2018,05:33:21,55.01658333,-5.008966667
Nyctalus noctula,1,A2,07/08/2018,00:04:54,55.01658333,-5.008966667
Nyctalus noctula,1,A2,07/08/2018,00:04:59,55.01658333,-5.008966667
Nyctalus noctula,1,A2,07/08/2018,00:05:07,55.01658333,-5.008966667
